customer_id,customer_name,city,signup_date
125,Karan,Hyderabad,2022-06-19
126,Meena,Delhi,2022-11-07
127,Sara,Bangalore,2022-08-18
128,Karan,Hyderabad,2022-04-05
129,Rahul,Bangalore,2023-09-20
130,Meena,Hyderabad,2022-10-14
131,Sneha,Hyderabad,2022-03-11
132,John,Bangalore,2024-03-27
133,Sara,Mumbai,2022-03-03
134,Arjun,Bangalore,2024-02-19
135,John,Hyderabad,2023-01-01
136,Priya,Bangalore,2022-05-18
137,Sneha,Delhi,2022-09-05
138,Amit,Delhi,2022-08-02
139,Rahul,Bangalore,2022-01-27
140,Amit,Bangalore,2023-11-03
141,Riya,Hyderabad,2022-01-31
142,Amit,Delhi,2024-01-19
143,John,Chennai,2022-10-26
144,Priya,Pune,2022-04-26
145,Karan,Chennai,2023-10-21
146,Riya,Delhi,2023-06-12
147,Amit,Chennai,2023-01-06
148,Priya,Bangalore,2022-08-19
149,John,Delhi,2023-06-07
150,John,Bangalore,2023-07-28
151,Sneha,Bangalore,2022-03-20
152,Sara,Mumbai,2022-10-21
153,Priya,Bangalore,2024-01-19
154,Rahul,Delhi,2022-05-05
155,Sara,Pune,2023-07-20
156,Arjun,Mumbai,2023-04-01
157,Meena,Pune,2022-10-23
158,Riya,Delhi,2023-02-04
159,Amit,Mumbai,2023-06-05
160,Rahul,Hyderabad,2023-11-12
161,Riya,Chennai,2022-03-26
162,Sneha,Bangalore,2022-07-04
163,John,Delhi,2024-06-16
164,Sara,Delhi,2024-05-21
165,Amit,Delhi,2024-03-18
166,Rahul,Pune,2022-02-03
167,Rahul,Delhi,2022-08-13
168,Sara,Bangalore,2022-07-25
169,John,Mumbai,2022-02-27
170,Priya,Mumbai,2023-04-18
171,Rahul,Delhi,2023-11-16
172,Amit,Pune,2023-03-27
173,Sneha,Delhi,2022-08-29
174,John,Pune,2023-11-19
175,Priya,Mumbai,2023-11-23
176,Amit,Pune,2022-12-02
177,John,Pune,2024-03-16
178,Sneha,Mumbai,2022-03-01
179,Meena,Mumbai,2022-04-23
180,Sneha,Pune,2022-08-29
181,Priya,Hyderabad,2024-03-22
182,Amit,Hyderabad,2024-02-25
183,Meena,Pune,2023-03-07
184,Meena,Pune,2023-01-15
185,Priya,Bangalore,2024-06-16
186,Amit,Hyderabad,2022-10-24
187,Riya,Pune,2023-12-08
188,Amit,Pune,2023-06-03
189,Amit,Chennai,2022-10-29
190,Rahul,Bangalore,2024-01-07
191,Priya,Hyderabad,2022-11-30
192,Sara,Mumbai,2024-01-22
193,Arjun,Chennai,2023-07-01
194,Sneha,Bangalore,2023-10-13
195,Rahul,Delhi,2022-07-30
196,Riya,Bangalore,2024-03-07
197,Sara,Pune,2023-11-01
198,Meena,Hyderabad,2022-06-17
199,John,Mumbai,2022-09-24
200,Amit,Chennai,2023-11-20
